sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q90270;Q13470;Q90270,<P31,Q5,P31>,Q3611490,<P19,Q13470;1.0,2.0,1.0,2.0,1.0,1.1991716861887758,1.0;4;7303
Baseline;Q40392;Q95745;Q40392,P31>,Q237284,<P61,Q493956,<P31,Q5,P31>,Q95745;1.0,2.0,1.0,1.009419030249297,1.0,2.0,1.0,2.0,1.0;5;5728
Baseline;Q97181;Q35364;Q97181,<P27,Q183,P530>,Q145,P17>,Q35364;1.0,1.267384095264984,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;9158
Baseline;Q29903;Q8493;Q29903,<P641,Q2736,P641>,Q2886765,<P27,Q889,P17>,Q8493;1.0,1.0834011275047926,1.0,1.0834011275047926,1.0,1.267384095264984,1.0,1.3092882003829798,1.0;5;8234
Baseline;Q14288;Q78505;Q14288,<P17,Q40,P27>,Q78505;1.0,1.3092882003829798,1.0,1.267384095264984,1.0;3;6053
Baseline;Q44816;Q68544;Q44816,<P159,Q90,P36>,Q142,<P47,Q39,P17>,Q68544;1.0,1.015470414595335,1.0,1.0068892715908992,1.0,1.093775594903121,1.0,1.3092882003829798,1.0;5;8926
Baseline;Q17327;Q34765;Q17327,<P421,Q6655,P421>,Q581042,<P31,Q23442,P31>,Q34765;1.0,1.0670415696703457,1.0,1.0670415696703457,1.0,2.0,1.0,2.0,1.0;5;11869
Baseline;Q93821;Q34330;Q93821,<P31,Q5,P31>,Q3958502,<P19,Q34330;1.0,2.0,1.0,2.0,1.0,1.1991716861887758,1.0;4;7133
Baseline;Q55343;Q8185;Q55343,<P17,Q142,<P463,Q458,P1001>,Q8185;1.0,1.3092882003829798,1.0,1.0235396330621496,1.0,1.0024439789985977,1.0;4;6162
Baseline;Q81818;Q11132;Q81818,<P31,Q5,P31>,Q11132;1.0,2.0,1.0,2.0,1.0;3;4765
Baseline;Q15604;Q93268;Q15604,<P3764,Q9671,<P27,Q183,P17>,Q93268;1.0,1.0003308341447101,1.0,1.267384095264984,1.0,1.3092882003829798,1.0;4;5583
Baseline;Q10732;Q22965;Q10732,<P641,Q2736,P641>,Q2541397,<P19,Q22965;1.0,1.0834011275047926,1.0,1.0834011275047926,1.0,1.1991716861887758,1.0;4;7361
Baseline;Q22384;Q28179;Q22384,<P17,Q142,P27>,Q3260304,<P1343,Q678259,P1343>,Q28179;1.0,1.3092882003829798,1.0,1.267384095264984,1.0,1.0124405922905477,1.0,1.0124405922905477,1.0;5;13967
Baseline;Q91968;Q99723;Q91968,<P31,Q5,P31>,Q99723;1.0,2.0,1.0,2.0,1.0;3;6222
Baseline;Q71521;Q66780;Q71521,<P27,Q183,P530>,Q30,P17>,Q66780;1.0,1.267384095264984,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;12500
Baseline;Q69026;Q9626;Q69026,<P17,Q142,<P530,Q145,P17>,Q9626;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;5696
Baseline;Q86639;Q78508;Q86639,<P1412,Q188,P1412>,Q78508;1.0,1.0797899097280277,1.0,1.0797899097280277,1.0;3;6072
Baseline;Q7608;Q67533;Q7608,<P31,Q577,<P972,Q5460604,P972>,Q183,P27>,Q67533;1.0,2.0,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,1.267384095264984,1.0;5;10261
Baseline;Q77192;Q87673;Q77192,<P31,Q5,P31>,Q87673;1.0,2.0,1.0,2.0,1.0;3;3500
Baseline;Q85984;Q98413;Q85984,<P31,Q5,P31>,Q98413;1.0,2.0,1.0,2.0,1.0;3;5482
Baseline;Q67662;Q91938;Q67662,<P17,Q39,<P47,Q183,P27>,Q91938;1.0,1.3092882003829798,1.0,1.093775594903121,1.0,1.267384095264984,1.0;4;7817
Baseline;Q20269;Q26707;Q20269,<P17,Q183,P17>,Q4938220,<P31,Q3957,P31>,Q26707;1.0,1.3092882003829798,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0;5;13328
Baseline;Q58293;Q65068;Q58293,<P31,Q5,P31>,Q65068;1.0,2.0,1.0,2.0,1.0;3;4976
Baseline;Q98792;Q28772;Q98792,<P27,Q183,P495>,Q5226477,<P31,Q571,P31>,Q28772;1.0,1.267384095264984,1.0,1.0443389766465405,1.0,2.0,1.0,2.0,1.0;5;12396
Baseline;Q816;Q25010;Q816,<P1343,Q2657718,P1343>,Q5151,P527>,Q577,P31>,Q25010;1.0,1.0124405922905477,1.0,1.0124405922905477,1.0,1.0127915475900258,1.0,2.0,1.0;5;12725
Baseline;Q94265;Q35705;Q94265,<P27,Q30,P27>,Q35705;1.0,1.267384095264984,1.0,1.267384095264984,1.0;3;5442
Baseline;Q35680;Q53232;Q35680,<P2341,Q117,<P530,Q183,<P421,Q6655,P421>,Q53232;1.0,1.0000459609535224,1.0,1.0003736180737954,1.0,1.0670415696703457,1.0,1.0670415696703457,1.0;5;8989
Baseline;Q12703;Q86459;Q12703,P131>,Q3431877,<P31,Q4022,P31>,Q86459;1.0,1.2162778447659264,1.0,2.0,1.0,2.0,1.0;4;7900
Baseline;Q77482;Q26802;Q77482,<P27,Q183,P530>,Q252,P17>,Q26802;1.0,1.267384095264984,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;10872
Baseline;Q17798;Q34529;Q17798,P19>,Q3547632,<P31,Q5,P31>,Q34529;1.0,1.1991716861887758,1.0,2.0,1.0,2.0,1.0;4;7929
Baseline;Q61019;Q16182;Q61019,<P31,Q5,P31>,Q16182;1.0,2.0,1.0,2.0,1.0;3;4986
Baseline;Q2451;Q86891;Q2451,P837>,Q4158156,<P17,Q212,P27>,Q6388717,<P641,Q2736,P641>,Q86891;1.0,1.0001289871921437,1.0,1.3092882003829798,1.0,1.267384095264984,1.0,1.0834011275047926,1.0,1.0834011275047926,1.0;6;11901
Baseline;Q50100;Q74156;Q50100,<P17,Q38,P17>,Q74729,<P149,Q74156;1.0,1.3092882003829798,1.0,1.3092882003829798,1.0,1.0033655278869673,1.0;4;9839
Baseline;Q72993;Q30432;Q72993,<P31,Q5,<P972,Q5460604,P972>,Q577,P31>,Q30432;1.0,2.0,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,2.0,1.0;5;12642
Baseline;Q18803;Q82009;Q18803,<P421,Q6655,P421>,Q82009;1.0,1.0670415696703457,1.0,1.0670415696703457,1.0;3;2893
Baseline;Q68007;Q80764;Q68007,<P17,Q39,P47>,Q131964,<P47,Q12560,P27>,Q80764;1.0,1.3092882003829798,1.0,1.093775594903121,1.0,1.093775594903121,1.0,1.267384095264984,1.0;5;12169
Baseline;Q2798;Q81095;Q2798,<P17,Q38,<P530,Q55,P17>,Q2577778,<P31,Q681263,P31>,Q81095;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0;6;13655
Baseline;Q10456;Q17869;Q10456,<P17,Q183,P17>,Q168717,<P137,Q2537,P31>,Q17869;1.0,1.3092882003829798,1.0,1.3092882003829798,1.0,1.0074988366795519,1.0,2.0,1.0;5;11573
Baseline;Q83542;Q20609;Q83542,<P495,Q30,P17>,Q2981109,<P31,Q34770,P31>,Q20609;1.0,1.0443389766465405,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0;5;11928
Baseline;Q74543;Q35261;Q74543,<P106,Q1028181,P921>,Q1451476,<P2408,Q35014,<P31,Q39911,P31>,Q232309,P361>,Q35261;1.0,1.3147912303111853,1.0,1.003652095491188,1.0,1.0001023001868725,1.0,2.0,1.0,2.0,1.0,1.0287251723482806,1.0;7;12892
Baseline;Q36171;Q71436;Q36171,<P17,Q1016,<P530,Q183,P27>,Q71436;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.267384095264984,1.0;4;4045
Baseline;Q15277;Q60311;Q15277,<P1343,Q2657718,P1343>,Q309861,<P27,Q29999,P27>,Q60311;1.0,1.0124405922905477,1.0,1.0124405922905477,1.0,1.267384095264984,1.0,1.267384095264984,1.0;5;11966
Baseline;Q48154;Q95385;Q48154,<P407,Q188,P1412>,Q95385;1.0,1.0064216135937674,1.0,1.0797899097280277,1.0;3;1467
Baseline;Q94554;Q20190;Q94554,<P31,Q5,P31>,Q3847539,<P19,Q20190;1.0,2.0,1.0,2.0,1.0,1.1991716861887758,1.0;4;10101
