sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q834218;Q128202;Q834218,<P31,Q1344,P31>,Q576230,<P495,Q38,P17>,Q128202;1.0,2.0,1.0,2.0,1.0,1.0535340515582916,1.0,1.3971017699115045,1.0;5;2239
Baseline;Q407191;Q1496755;Q407191,P241>,Q102462,<P31,Q5,P1535>,Q81895,P180>,Q1219859,<P180,Q153988,P279>,Q1496755;1.0,1.0059359368988072,1.0,2.0,1.0,1.0001587148903424,1.0,1.006631396691035,1.0,1.006631396691035,1.0,1.0386658330126972,1.0;7;2320
Baseline;Q42552;Q471463;Q42552,<P27,Q36,P17>,Q471463;1.0,1.3856579453636013,1.0,1.3971017699115045,1.0;3;828
Baseline;Q1173538;Q62839;Q1173538,<P31,Q5,P31>,Q62839;1.0,2.0,1.0,2.0,1.0;3;995
Baseline;Q441256;Q1090356;Q441256,<P360,Q215627,P360>,Q852868,<P31,Q571,P31>,Q1090356;1.0,1.0161812235475183,1.0,1.0161812235475183,1.0,2.0,1.0,2.0,1.0;5;1367
Baseline;Q1391893;Q675251;Q1391893,<P31,Q5,P31>,Q161420,P138>,Q950253,<P31,Q16521,P31>,Q675251;1.0,2.0,1.0,2.0,1.0,1.0215371296652558,1.0,2.0,1.0,2.0,1.0;6;2173
Baseline;Q1519668;Q690203;Q1519668,<P641,Q3609,P641>,Q692114,<P276,Q64,P131>,Q690203;1.0,1.113674490188534,1.0,1.113674490188534,1.0,1.0091833397460561,1.0,1.2925711812235474,1.0;5;1375
Baseline;Q279427;Q223406;Q279427,<P19,Q6221,<P421,Q6655,P421>,Q223406;1.0,1.3253453251250482,1.0,1.1286841092727973,1.0,1.1286841092727973,1.0;4;1461
Baseline;Q1250792;Q702549;Q1250792,<P17,Q183,P530>,Q334,P19>,Q702549;1.0,1.3971017699115045,1.0,1.0016968064640246,1.0,1.3253453251250482,1.0;4;1494
Baseline;Q896521;Q1153137;Q896521,<P31,Q101352,P31>,Q1034209,<P421,Q6655,P421>,Q1153137;1.0,2.0,1.0,2.0,1.0,1.1286841092727973,1.0,1.1286841092727973,1.0;5;1730
Baseline;Q1061935;Q695193;Q1061935,<P138,Q12501,<P1435,Q9259,P1435>,Q69307,<P17,Q55,P495>,Q695193;1.0,1.0215371296652558,1.0,1.0066477491342825,1.0,1.0066477491342825,1.0,1.3971017699115045,1.0,1.0535340515582916,1.0;6;2070
Baseline;Q1316335;Q646345;Q1316335,<P17,Q142,<P47,Q183,P17>,Q646345;1.0,1.3971017699115045,1.0,1.331686225471335,1.0,1.3971017699115045,1.0;4;1336
Baseline;Q118616;Q1009676;Q118616,<P30,Q51,P30>,Q8680,<P30,Q46,P30>,Q214,P17>,Q1009676;1.0,1.0064447864563293,1.0,1.0064447864563293,1.0,1.0064447864563293,1.0,1.0064447864563293,1.0,1.3971017699115045,1.0;6;1989
