sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q90270;Q13470;Q90270,<P31,Q5,P31>,Q5444,<P19,Q13470;1.0,2.0,1.0,2.0,1.0,1.3253453251250482,1.0;4;2707
Baseline;Q40392;Q95745;Q40392,P31>,Q237284,<P61,Q493956,<P31,Q5,P31>,Q95745;1.0,2.0,1.0,1.026201423624471,1.0,2.0,1.0,2.0,1.0;5;1398
Baseline;Q97181;Q35364;Q97181,<P27,Q183,P530>,Q145,P17>,Q35364;1.0,1.3856579453636013,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0;4;2576
Baseline;Q29903;Q8493;Q29903,<P641,Q2736,P641>,Q936615,<P27,Q863,P17>,Q8493;1.0,1.113674490188534,1.0,1.113674490188534,1.0,1.3856579453636013,1.0,1.3971017699115045,1.0;5;1932
Baseline;Q14288;Q78505;Q14288,<P17,Q40,P27>,Q78505;1.0,1.3971017699115045,1.0,1.3856579453636013,1.0;3;583
Baseline;Q44816;Q68544;Q44816,<P159,Q90,<P421,Q6655,P421>,Q12738,P131>,Q68544;1.0,1.0264794151596768,1.0,1.1286841092727973,1.0,1.1286841092727973,1.0,1.2925711812235474,1.0;5;2335
Baseline;Q17327;Q34765;Q17327,<P17,Q38,P17>,Q786100,<P31,Q23442,P31>,Q34765;1.0,1.3971017699115045,1.0,1.3971017699115045,1.0,2.0,1.0,2.0,1.0;5;2760
Baseline;Q93821;Q34330;Q93821,<P31,Q5,P31>,Q535492,<P19,Q34330;1.0,2.0,1.0,2.0,1.0,1.3253453251250482,1.0;4;2199
Baseline;Q55343;Q8185;Q55343,<P17,Q142,<P463,Q458,P1001>,Q8185;1.0,1.3971017699115045,1.0,1.0518228164678722,1.0,1.0037658714890343,1.0;4;2210
Baseline;Q81818;Q11132;Q81818,<P31,Q5,P31>,Q11132;1.0,2.0,1.0,2.0,1.0;3;1107
Baseline;Q15604;Q93268;Q15604,<P3764,Q9671,<P27,Q183,P17>,Q93268;1.0,1.0010407849172758,1.0,1.3856579453636013,1.0,1.3971017699115045,1.0;4;1559
Baseline;Q10732;Q22965;Q10732,<P641,Q2736,P641>,Q1359176,<P19,Q22965;1.0,1.113674490188534,1.0,1.113674490188534,1.0,1.3253453251250482,1.0;4;2266
Baseline;Q22384;Q28179;Q22384,<P17,Q142,P27>,Q1131525,<P1343,Q678259,P1343>,Q28179;1.0,1.3971017699115045,1.0,1.3856579453636013,1.0,1.018513851481339,1.0,1.018513851481339,1.0;5;2775
Baseline;Q91968;Q99723;Q91968,<P31,Q5,P31>,Q99723;1.0,2.0,1.0,2.0,1.0;3;904
Baseline;Q71521;Q66780;Q71521,<P27,Q183,P530>,Q30,P17>,Q66780;1.0,1.3856579453636013,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0;4;2406
Baseline;Q69026;Q9626;Q69026,<P17,Q142,<P530,Q145,P17>,Q9626;1.0,1.3971017699115045,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0;4;2310
Baseline;Q86639;Q78508;Q86639,<P1412,Q188,P1412>,Q78508;1.0,1.141864178530204,1.0,1.141864178530204,1.0;3;7505
Baseline;Q7608;Q67533;Q7608,<P361,Q39484,P2408>,Q326909,<P364,Q188,P1412>,Q67533;1.0,1.0423316660253943,1.0,1.000311658330127,1.0,1.0383089649865334,1.0,1.141864178530204,1.0;5;1278
Baseline;Q77192;Q87673;Q77192,<P31,Q5,P31>,Q87673;1.0,2.0,1.0,2.0,1.0;3;1070
Baseline;Q85984;Q98413;Q85984,<P31,Q5,P31>,Q98413;1.0,2.0,1.0,2.0,1.0;3;850
Baseline;Q67662;Q91938;Q67662,P1321>,Q120654,<P31,Q5,P31>,Q91938;1.0,1.0010263562908812,1.0,2.0,1.0,2.0,1.0;4;2525
Baseline;Q20269;Q26707;Q20269,<P17,Q183,P17>,Q496056,<P31,Q3957,P31>,Q26707;1.0,1.3971017699115045,1.0,1.3971017699115045,1.0,2.0,1.0,2.0,1.0;5;2723
Baseline;Q58293;Q65068;Q58293,<P31,Q5,P31>,Q65068;1.0,2.0,1.0,2.0,1.0;3;1048
Baseline;Q98792;Q28772;Q98792,<P31,Q5,P31>,Q281966,<P101,Q185363,P136>,Q28772;1.0,2.0,1.0,2.0,1.0,1.0087370142362446,1.0,1.0944113120430936,1.0;5;2843
Baseline;Q816;Q25010;Q816,P150>,Q30,P361>,Q24062,<P31,Q577,P31>,Q25010;1.0,1.0888851481338977,1.0,1.0423316660253943,1.0,2.0,1.0,2.0,1.0;5;2895
Baseline;Q94265;Q35705;Q94265,<P27,Q30,P27>,Q35705;1.0,1.3856579453636013,1.0,1.3856579453636013,1.0;3;1412
Baseline;Q35680;Q53232;Q35680,<P2341,Q117,<P530,Q183,<P421,Q6655,P421>,Q53232;1.0,1.0000904193920739,1.0,1.0016968064640246,1.0,1.1286841092727973,1.0,1.1286841092727973,1.0;5;2021
Baseline;Q12703;Q86459;Q12703,<P17,Q142,<P530,Q159,P17>,Q86459;1.0,1.3971017699115045,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0;4;2492
Baseline;Q77482;Q26802;Q77482,<P27,Q183,P530>,Q252,P17>,Q26802;1.0,1.3856579453636013,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0;4;2395
Baseline;Q17798;Q34529;Q17798,<P17,Q38,P710>,Q361,P607>,Q34529;1.0,1.3971017699115045,1.0,1.0116121585225086,1.0,1.0199663332050788,1.0;4;1382
Baseline;Q61019;Q16182;Q61019,<P31,Q5,P31>,Q16182;1.0,2.0,1.0,2.0,1.0;3;1766
Baseline;Q2451;Q86891;Q2451,P527>,Q126,P2922>,Q1060100,<P17,Q38,P27>,Q590048,<P641,Q2736,P641>,Q86891;1.0,1.0243353212774144,1.0,1.0004549826856484,1.0,1.3971017699115045,1.0,1.3856579453636013,1.0,1.113674490188534,1.0,1.113674490188534,1.0;7;2893
Baseline;Q50100;Q74156;Q50100,<P17,Q38,P17>,Q74729,<P149,Q74156;1.0,1.3971017699115045,1.0,1.3971017699115045,1.0,1.005136590996537,1.0;4;2384
Baseline;Q72993;Q30432;Q72993,<P31,Q5,P31>,Q240448,<P166,Q1985,<P31,Q577,P31>,Q30432;1.0,2.0,1.0,2.0,1.0,1.0731338976529434,1.0,2.0,1.0,2.0,1.0;6;3096
Baseline;Q18803;Q82009;Q18803,<P421,Q6655,P421>,Q82009;1.0,1.1286841092727973,1.0,1.1286841092727973,1.0;3;689
Baseline;Q68007;Q80764;Q68007,<P17,Q39,P915>,Q106571,<P840,Q406,P19>,Q80764;1.0,1.3971017699115045,1.0,1.008698537899192,1.0,1.0097979992304733,1.0,1.3253453251250482,1.0;5;3037
Baseline;Q2798;Q81095;Q2798,<P17,Q38,<P530,Q37,P17>,Q944633,<P31,Q132364,P31>,Q81095;1.0,1.3971017699115045,1.0,1.0016968064640246,1.0,1.3971017699115045,1.0,2.0,1.0,2.0,1.0;6;3045
Baseline;Q10456;Q17869;Q10456,<P17,Q183,P17>,Q168717,<P137,Q2537,P31>,Q17869;1.0,1.3971017699115045,1.0,1.3971017699115045,1.0,1.0115419392073874,1.0,2.0,1.0;5;2898
Baseline;Q83542;Q20609;Q83542,<P495,Q145,<P37,Q9309,<P31,Q34770,P31>,Q20609;1.0,1.0535340515582916,1.0,1.0040563678337822,1.0,2.0,1.0,2.0,1.0;5;3019
Baseline;Q74543;Q35261;Q74543,<P20,Q64,P840>,Q669599,<P2408,Q39847,<P31,Q39911,P31>,Q232309,P361>,Q35261;1.0,1.1566323585994613,1.0,1.0097979992304733,1.0,1.000311658330127,1.0,2.0,1.0,2.0,1.0,1.0423316660253943,1.0;7;3144
Baseline;Q36171;Q71436;Q36171,<P17,Q1016,<P530,Q183,P27>,Q71436;1.0,1.3971017699115045,1.0,1.0016968064640246,1.0,1.3856579453636013,1.0;4;1117
Baseline;Q15277;Q60311;Q15277,<P527,Q627,<P1343,Q602358,P1343>,Q5,P31>,Q60311;1.0,1.0243353212774144,1.0,1.018513851481339,1.0,1.018513851481339,1.0,2.0,1.0;5;1895
Baseline;Q48154;Q95385;Q48154,<P407,Q188,P1412>,Q95385;1.0,1.0098326279338208,1.0,1.141864178530204,1.0;3;379
Baseline;Q94554;Q20190;Q94554,<P27,Q403,<P421,Q6655,P421>,Q20190;1.0,1.3856579453636013,1.0,1.1286841092727973,1.0,1.1286841092727973,1.0;4;2552
Baseline;Q57540;Q13076;Q57540,<P31,Q5,P31>,Q14278,P61>,Q1049082,<P31,Q878367,P31>,Q13076;1.0,2.0,1.0,2.0,1.0,1.026201423624471,1.0,2.0,1.0,2.0,1.0;6;3273
Baseline;Q51132;Q42160;Q51132,<P31,Q5,P31>,Q346751,<P19,Q42160;1.0,2.0,1.0,2.0,1.0,1.3253453251250482,1.0;4;1917
Baseline;Q87585;Q44297;Q87585,<P31,Q5,P31>,Q44297;1.0,2.0,1.0,2.0,1.0;3;1759
Baseline;Q95714;Q23810;Q95714,<P31,Q5,P31>,Q23810;1.0,2.0,1.0,2.0,1.0;3;1068
