sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q90270;Q13470;Q90270,<P31,Q5,P31>,Q3616758,<P19,Q13470;1.0,2.0,1.0,2.0,1.0,1.1331355531422966,1.0;4;7660
Baseline;Q40392;Q95745;Q40392,<P279,Q589,<P972,Q5460604,P972>,Q183,P27>,Q95745;1.0,1.013394499229314,1.0,1.0001131944930988,1.0,1.0001131944930988,1.0,1.1831851441532963,1.0;5;15277
Baseline;Q97181;Q35364;Q97181,<P27,Q183,P530>,Q145,P17>,Q35364;1.0,1.1831851441532963,1.0,1.0001931093673369,1.0,1.2477060052196456,1.0;4;9529
Baseline;Q29903;Q8493;Q29903,<P641,Q2736,P641>,Q10554064,<P19,Q889,P17>,Q8493;1.0,1.051601253240384,1.0,1.051601253240384,1.0,1.1331355531422966,1.0,1.2477060052196456,1.0;5;41892
Baseline;Q14288;Q78505;Q14288,<P17,Q40,P27>,Q78505;1.0,1.2477060052196456,1.0,1.1831851441532963,1.0;3;2386
Baseline;Q44816;Q68544;Q44816,<P159,Q90,P36>,Q142,<P47,Q39,P17>,Q68544;1.0,1.0115964145589575,1.0,1.003840292860646,1.0,1.0490803221116793,1.0,1.2477060052196456,1.0;5;17239
Baseline;Q17327;Q34765;Q17327,<P421,Q6655,P421>,Q208259,<P31,Q23442,P31>,Q34765;1.0,1.0523290259581026,1.0,1.0523290259581026,1.0,2.0,1.0,2.0,1.0;5;24566
Baseline;Q93821;Q34330;Q93821,<P31,Q5,P31>,Q3958502,<P19,Q34330;1.0,2.0,1.0,2.0,1.0,1.1331355531422966,1.0;4;17716
Baseline;Q55343;Q8185;Q55343,<P17,Q142,<P463,Q458,P1001>,Q8185;1.0,1.2477060052196456,1.0,1.014557753275415,1.0,1.0015780450851257,1.0;4;17435
Baseline;Q81818;Q11132;Q81818,<P31,Q5,P31>,Q11132;1.0,2.0,1.0,2.0,1.0;3;12213
Baseline;Q15604;Q93268;Q15604,<P3764,Q9671,<P27,Q183,P17>,Q93268;1.0,1.0001759221957542,1.0,1.1831851441532963,1.0,1.2477060052196456,1.0;4;6196
