sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q886464;Q4497793;Q886464,<P105,Q7432,<P972,Q5460604,P972>,Q159,P17>,Q4497793;1.0,1.0992673010229104,1.0,1.0001131944930988,1.0,1.0001131944930988,1.0,1.2477060052196456,1.0;5;17729
Baseline;Q6868941;Q4773022;Q6868941,<P31,Q11266439,P31>,Q1928888,<P21,Q6581097,P21>,Q4773022;1.0,2.0,1.0,2.0,1.0,1.2343896693056822,1.0,1.2343896693056822,1.0;5;12601
Baseline;Q12489893;Q2192951;Q12489893,<P31,Q532,P31>,Q527329,<P17,Q142,P17>,Q2192951;1.0,2.0,1.0,2.0,1.0,1.2477060052196456,1.0,1.2477060052196456,1.0;5;12800
Baseline;Q7769289;Q2695347;Q7769289,<P31,Q4167836,P31>,Q9641087,<P301,Q4124530,P171>,Q2695347;1.0,2.0,1.0,2.0,1.0,1.0310222973446368,1.0,1.0860593428151055,1.0;5;13659
Baseline;Q1448044;Q1888036;Q1448044,<P21,Q6581097,P21>,Q23,<P27,Q30,P17>,Q1888036;1.0,1.2343896693056822,1.0,1.2343896693056822,1.0,1.1831851441532963,1.0,1.2477060052196456,1.0;5;16985
Baseline;Q4818814;Q5100962;Q4818814,<P31,Q5,P31>,Q1271901,<P1412,Q7850,P1269>,Q1073914,P1269>,Q5100962;1.0,2.0,1.0,2.0,1.0,1.0487648225670847,1.0,1.0019787141806207,1.0,1.0019787141806207,1.0;6;47130
Baseline;Q4261724;Q7587847;Q4261724,<P27,Q252,<P530,Q30,P17>,Q7587847;1.0,1.1831851441532963,1.0,1.0001931093673369,1.0,1.2477060052196456,1.0;4;26577
Baseline;Q2361262;Q5157281;Q2361262,<P17,Q55,P27>,Q1583158,<P101,Q18535,<P279,Q182545,P31>,Q5157281;1.0,1.2477060052196456,1.0,1.1831851441532963,1.0,1.0026102606319625,1.0,1.013394499229314,1.0,2.0,1.0;6;57899
Baseline;Q5121982;Q2227192;Q5121982,<P105,Q7432,<P972,Q5460604,P972>,Q55,P17>,Q2227192;1.0,1.0992673010229104,1.0,1.0001131944930988,1.0,1.0001131944930988,1.0,1.2477060052196456,1.0;5;17684
Baseline;Q7515529;Q9219637;Q7515529,<P17,Q954,P971>,Q6965434,<P31,Q4167836,P31>,Q9219637;1.0,1.2477060052196456,1.0,1.0132879825544734,1.0,2.0,1.0,2.0,1.0;5;34454
