sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q3239497;Q1715627;Q3239497,<P17,Q142,P17>,Q1453683,<P31,Q1344963,P31>,Q2292129,P31>,Q1715627;1.0,1.3092882003829798,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0,2.0,1.0;6;12415
Baseline;Q3104866;Q5121575;Q3104866,<P31,Q5,P31>,Q5210005,<P19,Q983741,P159>,Q5121575;1.0,2.0,1.0,2.0,1.0,1.1991716861887758,1.0,1.015470414595335,1.0;5;30120
Baseline;Q3257692;Q2633492;Q3257692,<P17,Q145,P530>,Q17,P495>,Q2633492;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.0443389766465405,1.0;4;8745
Baseline;Q2471252;Q4159757;Q2471252,<P105,Q7432,P105>,Q4035324,<P138,Q849047,<P495,Q15180,P17>,Q4159757;1.0,1.1263877507493012,1.0,1.1263877507493012,1.0,1.0112919920557446,1.0,1.0443389766465405,1.0,1.3092882003829798,1.0;6;12580
Baseline;Q4365964;Q1600361;Q4365964,<P31,Q4167410,P31>,Q407514,P161>,Q2063364,<P495,Q16,P17>,Q1600361;1.0,2.0,1.0,2.0,1.0,1.107795380140505,1.0,1.0443389766465405,1.0,1.3092882003829798,1.0;6;11726
Baseline;Q1404812;Q5831831;Q1404812,<P27,Q183,P27>,Q4719276,P138>,Q4095548,<P31,Q16521,P31>,Q5831831;1.0,1.267384095264984,1.0,1.267384095264984,1.0,1.0112919920557446,1.0,2.0,1.0,2.0,1.0;6;12705
Baseline;Q2135690;Q1393185;Q2135690,<P31,Q4167410,P31>,Q1932243,<P1001,Q183,P17>,Q1393185;1.0,2.0,1.0,2.0,1.0,1.0024439789985977,1.0,1.3092882003829798,1.0;5;8442
Baseline;Q727676;Q4187923;Q727676,<P176,Q62621,<P17,Q17,P47>,Q15180,P27>,Q4321437,<P166,Q4187923;1.0,1.0056652699761237,1.0,1.3092882003829798,1.0,1.093775594903121,1.0,1.267384095264984,1.0,1.0525134605230357,1.0;6;12191
Baseline;Q1094820;Q273138;Q1094820,<P17,Q159,P27>,Q4186195,<P20,Q90,P159>,Q273138;1.0,1.3092882003829798,1.0,1.267384095264984,1.0,1.0837510237961248,1.0,1.015470414595335,1.0;5;11362
Baseline;Q951997;Q69975;Q951997,<P17,Q43,<P530,Q183,P27>,Q69975;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.267384095264984,1.0;4;6669
Baseline;Q5390795;Q2132759;Q5390795,<P17,Q30,P27>,Q23,<P31,Q5,P31>,Q2132759;1.0,1.3092882003829798,1.0,1.267384095264984,1.0,2.0,1.0,2.0,1.0;5;11897
Baseline;Q4768136;Q1133360;Q4768136,<P31,Q5,P31>,Q1133360;1.0,2.0,1.0,2.0,1.0;3;5181
Baseline;Q6114375;Q5078078;Q6114375,<P131,Q44754,P19>,Q6131330,<P31,Q5,P31>,Q5078078;1.0,1.2162778447659264,1.0,1.1991716861887758,1.0,2.0,1.0,2.0,1.0;5;10843
Baseline;Q6114053;Q2542794;Q6114053,<P17,Q414,P530>,Q183,P17>,Q2542794;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;7940
Baseline;Q5558723;Q2653735;Q5558723,<P105,Q7432,P105>,Q2653735;1.0,1.1263877507493012,1.0,1.1263877507493012,1.0;3;2218
Baseline;Q6137675;Q606315;Q6137675,<P31,Q523,<P972,Q5460604,P972>,Q30,P17>,Q606315;1.0,2.0,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,1.3092882003829798,1.0;5;5632
Baseline;Q1813259;Q210276;Q1813259,<P17,Q183,P530>,Q17,P27>,Q210276;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.267384095264984,1.0;4;6079
Baseline;Q2463608;Q1764707;Q2463608,<P31,Q353027,P31>,Q2169398,<P17,Q16,<P2238,Q81056,<P105,Q7432,P105>,Q1764707;1.0,2.0,1.0,2.0,1.0,1.3092882003829798,1.0,1.000015461518927,1.0,1.1263877507493012,1.0,1.1263877507493012,1.0;7;12277
Baseline;Q3216634;Q4610746;Q3216634,<P31,Q5,P31>,Q4158744,<P641,Q2736,P641>,Q4610746;1.0,2.0,1.0,2.0,1.0,1.0834011275047926,1.0,1.0834011275047926,1.0;5;10625
Baseline;Q2732848;Q2819817;Q2732848,<P31,Q5,P31>,Q2467839,P57>,Q2819817;1.0,2.0,1.0,2.0,1.0,1.0178000207141993,1.0;4;10168
Baseline;Q6303630;Q2216197;Q6303630,<P31,Q5,P31>,Q4058928,<P27,Q40,P17>,Q2216197;1.0,2.0,1.0,2.0,1.0,1.267384095264984,1.0,1.3092882003829798,1.0;5;11152
Baseline;Q1278291;Q5628550;Q1278291,<P31,Q5,P31>,Q5628550;1.0,2.0,1.0,2.0,1.0;3;4776
Baseline;Q3140322;Q116762;Q3140322,<P31,Q4167410,P31>,Q5449265,<P27,Q145,P17>,Q116762;1.0,2.0,1.0,2.0,1.0,1.267384095264984,1.0,1.3092882003829798,1.0;5;9577
Baseline;Q5405420;Q3511524;Q5405420,<P105,Q7432,<P972,Q5460604,P972>,Q1033,P27>,Q3511524;1.0,1.1263877507493012,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,1.267384095264984,1.0;5;6742
Baseline;Q4523429;Q2044750;Q4523429,<P17,Q159,P17>,Q4307676,<P31,Q486972,P31>,Q2044750;1.0,1.3092882003829798,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0;5;10546
Baseline;Q3221339;Q5948766;Q3221339,<P17,Q142,<P47,Q29,P27>,Q5948766;1.0,1.3092882003829798,1.0,1.093775594903121,1.0,1.267384095264984,1.0;4;10651
Baseline;Q2942301;Q2009735;Q2942301,<P131,Q204430,<P421,Q6655,P421>,Q2009735;1.0,1.2162778447659264,1.0,1.0670415696703457,1.0,1.0670415696703457,1.0;4;8470
Baseline;Q2154541;Q4053758;Q2154541,<P31,Q5,<P1343,Q602358,P1343>,Q1570703,P403>,Q4053758;1.0,2.0,1.0,1.0124405922905477,1.0,1.0124405922905477,1.0,1.0069958078103545,1.0;5;12349
Baseline;Q970872;Q3042643;Q970872,<P105,Q7432,<P972,Q5460604,P972>,Q5369,P641>,Q3042643;1.0,1.1263877507493012,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,1.0834011275047926,1.0;5;6198
Baseline;Q158256;Q2229363;Q158256,<P31,Q5,P31>,Q2387205,<P641,Q718,P641>,Q2229363;1.0,2.0,1.0,2.0,1.0,1.0834011275047926,1.0,1.0834011275047926,1.0;5;11088
Baseline;Q2677717;Q4172696;Q2677717,<P17,Q43,P183>,Q2657467,<P31,Q16521,P31>,Q4172696;1.0,1.3092882003829798,1.0,1.0003390944082464,1.0,2.0,1.0,2.0,1.0;5;11614
Baseline;Q2325411;Q2959625;Q2325411,<P105,Q7432,<P972,Q5460604,P972>,Q5,P31>,Q2959625;1.0,1.1263877507493012,1.0,1.0002177320747516,1.0,1.0002177320747516,1.0,2.0,1.0;5;8218
Baseline;Q307810;Q4367661;Q307810,<P31,Q5,P31>,Q4367661;1.0,2.0,1.0,2.0,1.0;3;2731
Baseline;Q4316122;Q1207834;Q4316122,<P-1,Q3281375,<P31,Q12136,<P1343,Q2657718,P1343>,Q2311664,<P31,Q486972,P31>,Q1207834;1.0,1.0244755844613005,1.0,2.0,1.0,1.0124405922905477,1.0,1.0124405922905477,1.0,2.0,1.0,2.0,1.0;7;11951
Baseline;Q6285959;Q5405549;Q6285959,<P31,Q5,P31>,Q5405549;1.0,2.0,1.0,2.0,1.0;3;5848
Baseline;Q6373748;Q2736598;Q6373748,<P495,Q668,P183>,Q264293,<P31,Q16521,P31>,Q2736598;1.0,1.0443389766465405,1.0,1.0003390944082464,1.0,2.0,1.0,2.0,1.0;5;10515
Baseline;Q3902647;Q5875750;Q3902647,<P31,Q482994,P31>,Q2594281,<P495,Q30,P17>,Q5875750;1.0,2.0,1.0,2.0,1.0,1.0443389766465405,1.0,1.3092882003829798,1.0;5;7040
Baseline;Q2360118;Q998193;Q2360118,<P17,Q183,P530>,Q219,P17>,Q998193;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;8659
Baseline;Q267579;Q1527037;Q267579,<P19,Q23436,P190>,Q31487,<P17,Q36,P17>,Q1527037;1.0,1.1991716861887758,1.0,1.0084453781601597,1.0,1.3092882003829798,1.0,1.3092882003829798,1.0;5;11951
Baseline;Q4189248;Q633953;Q4189248,<P27,Q36,<P421,Q6655,P421>,Q633953;1.0,1.267384095264984,1.0,1.0670415696703457,1.0,1.0670415696703457,1.0;4;9818
Baseline;Q2926384;Q5534692;Q2926384,<P105,Q7432,P105>,Q5534692;1.0,1.1263877507493012,1.0,1.1263877507493012,1.0;3;1739
Baseline;Q1728381;Q4503110;Q1728381,<P921,Q362,<P276,Q159,P17>,Q4503110;1.0,1.003652095491188,1.0,1.0072328138333575,1.0,1.3092882003829798,1.0;4;5948
Baseline;Q5460138;Q1042930;Q5460138,<P17,Q30,<P47,Q96,P27>,Q1042930;1.0,1.3092882003829798,1.0,1.093775594903121,1.0,1.267384095264984,1.0;4;9638
Baseline;Q4264820;Q730064;Q4264820,<P17,Q212,<P530,Q16,P27>,Q730064;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.267384095264984,1.0;4;5119
Baseline;Q1070259;Q824346;Q1070259,<P31,Q5,P31>,Q5363223,<P27,Q145,P17>,Q824346;1.0,2.0,1.0,2.0,1.0,1.267384095264984,1.0,1.3092882003829798,1.0;5;10584
Baseline;Q4416785;Q4139317;Q4416785,<P166,Q278798,<P31,Q973011,<P31,Q4167410,P31>,Q4139317;1.0,1.0525134605230357,1.0,2.0,1.0,2.0,1.0,2.0,1.0;5;10970
Baseline;Q3352510;Q1964655;Q3352510,<P17,Q20,P27>,Q3355570,<P106,Q36834,P106>,Q1964655;1.0,1.3092882003829798,1.0,1.267384095264984,1.0,1.3147912303111853,1.0,1.3147912303111853,1.0;5;9889
Baseline;Q5726937;Q5441822;Q5726937,<P31,Q4167410,P31>,Q2583947,<P421,Q6655,P421>,Q5441822;1.0,2.0,1.0,2.0,1.0,1.0670415696703457,1.0,1.0670415696703457,1.0;5;6585
Baseline;Q4080805;Q1575770;Q4080805,<P27,Q159,P17>,Q4531132,<P31,Q4830453,P31>,Q1575770;1.0,1.267384095264984,1.0,1.3092882003829798,1.0,2.0,1.0,2.0,1.0;5;11659
Baseline;Q3947887;Q662019;Q3947887,<P31,Q1539532,P31>,Q2575342,<P360,Q5,P31>,Q1454895,<P19,Q662019;1.0,2.0,1.0,2.0,1.0,1.014862120316457,1.0,2.0,1.0,1.1991716861887758,1.0;6;10126
Baseline;Q1516310;Q5403056;Q1516310,P358>,Q86105,<P27,Q183,P530>,Q30,P17>,Q5403056;1.0,1.0004447834211851,1.0,1.267384095264984,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;5;10694
Baseline;Q5327732;Q2010448;Q5327732,<P31,Q27686,<P1343,Q602358,P1343>,Q146887,<P105,Q7432,P105>,Q2010448;1.0,2.0,1.0,1.0124405922905477,1.0,1.0124405922905477,1.0,1.1263877507493012,1.0,1.1263877507493012,1.0;6;11202
Baseline;Q4881093;Q3791351;Q4881093,<P31,Q2393314,P279>,Q3917621,<P136,Q1370345,P1269>,Q1344,P31>,Q3791351;1.0,2.0,1.0,1.0211666076093124,1.0,1.059942826268231,1.0,1.0035830481600898,1.0,2.0,1.0;6;9336
Baseline;Q3580376;Q117278;Q3580376,<P17,Q142,<P530,Q17,P495>,Q117278;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.0443389766465405,1.0;4;6944
Baseline;Q2388589;Q2877196;Q2388589,<P31,Q5,P31>,Q39525,<P108,Q26678,P176>,Q2877196;1.0,2.0,1.0,2.0,1.0,1.0212820394971913,1.0,1.0056652699761237,1.0;5;11675
Baseline;Q1012448;Q1750056;Q1012448,<P17,Q142,<P530,Q155,P17>,Q1750056;1.0,1.3092882003829798,1.0,1.0003736180737954,1.0,1.3092882003829798,1.0;4;6710
Baseline;Q5524885;Q394742;Q5524885,<P735,Q1820274,<P282,Q8229,P361>,Q394742;1.0,1.1368791326469125,1.0,1.0017998902443959,1.0,1.0287251723482806,1.0;4;7593
Baseline;Q6374054;Q1903354;Q6374054,<P31,Q532,P31>,Q5715561,<P31,Q4167410,P31>,Q1903354;1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0;5;9150
Baseline;Q3693405;Q1355877;Q3693405,<P61,Q314284,<P31,Q5,P31>,Q981500,<P735,Q1355877;1.0,1.009419030249297,1.0,2.0,1.0,2.0,1.0,1.1368791326469125,1.0;5;9492
Baseline;Q2904434;Q2363972;Q2904434,<P264,Q330629,<P17,Q30,<P2238,Q127216,<P105,Q7432,P105>,Q2363972;1.0,1.0209393444612498,1.0,1.3092882003829798,1.0,1.000015461518927,1.0,1.1263877507493012,1.0,1.1263877507493012,1.0;6;11234
