sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;7,0;13967,0;5263965,0;1442781,0;1,0
Degree;23,0;12952,0;4427368,0;1442781,0;1442781,0
Degree and edge weight;22,0;15164,0;4595285,0;1442781,0;1442781,0
Degree normalized;7,0;17366,0;5251967,0;1442781,0;2,0
Degree normalized and edge weight;7,0;20984,0;6102202,0;1442781,0;2,0
PageRank;24,0;13746,0;4454892,0;1442781,0;0,012398382513339497
PageRank and edge weight;7,0;21770,0;6393583,0;1442781,0;0,012398382513339497
PageRank normalized;7,0;16893,0;5237991,0;1442781,0;1,8486254007677703
PageRank normalized and edge weight;7,0;20139,0;5968101,0;1442781,0;1,8486254007677703
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;1467,0;8765,0;6937,0;1,0
Degree;4,0;1250,0;9914,0;21,0;21,0
Degree and edge weight;4,0;1208,0;9352,0;21,0;21,0
Degree normalized;3,0;1581,0;6579,0;878,0;1,0006085469658943
Degree normalized and edge weight;3,0;1721,0;6032,0;878,0;1,0006085469658943
PageRank;4,0;1200,0;6361,0;27,0;5,993832079929135E-8
PageRank and edge weight;3,0;1823,0;5923,0;878,0;5,155396362714543E-6
PageRank normalized;3,0;1259,0;10171,0;878,0;1,0003528686342527
PageRank normalized and edge weight;3,0;1602,0;5909,0;878,0;1,0003528686342527
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,21;8101,9;1945936,11;576622,68;1,0
Degree;12,82;6043,49;1571184,57;16069,56;16069,56
Degree and edge weight;12,32;7337,08;1635067,42;16070,17;16070,17
Degree normalized;4,21;9275,38;1824668,7;360917,3;1,2501539041614775
Degree normalized and edge weight;4,34;10923,48;1906150,14;224378,04;1,1555177396985414
PageRank;13,45;7220,56;1695884,62;16146,01;1,87563963985624E-4
PageRank and edge weight;4,35;11156,71;1982307,07;236647,52;0,004322670100764768
PageRank normalized;4,23;8821,04;1827751,62;365156,68;1,287644908442177
PageRank normalized and edge weight;4,32;10324,42;1902656,08;258415,46;1,2746880206243316
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;5728,0;930175,0;125814,0;1,0
Degree;10,0;3627,0;692224,0;44,0;44,0
Degree and edge weight;9,0;4378,0;737992,0;45,0;45,0
Degree normalized;3,0;6070,0;701012,0;32449,0;1,0224905928203933
Degree normalized and edge weight;4,0;7115,0;426396,0;53522,0;1,0370964131077411
PageRank;11,0;4943,0;908280,0;72,0;3,809615635809039E-7
PageRank and edge weight;4,0;7337,0;354092,0;121223,0;0,0013437896190844278
PageRank normalized;3,0;5553,0;573034,0;51539,0;1,047238753681465
PageRank normalized and edge weight;4,0;6912,0;477463,0;107849,0;1,0657111623135307
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,0;7970,0;1506532,0;329896,0;1,0
Degree;13,0;5761,0;1367040,0;86,0;86,0
Degree and edge weight;12,0;6924,0;1420795,0;86,0;86,0
Degree normalized;4,0;8820,0;1419953,0;125814,0;1,087202423652654
Degree normalized and edge weight;4,0;10125,0;1395295,0;148679,0;1,103050289683604
PageRank;13,0;7477,0;1594252,0;126,0;1,2794990898163083E-6
PageRank and edge weight;4,0;10256,0;1236532,0;148679,0;0,0023068997405316684
PageRank normalized;4,0;8348,0;1482657,0;125814,0;1,1578991223035309
PageRank normalized and edge weight;4,0;9602,0;1361662,0;141361,0;1,1578991223035309
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;10827,0;2832171,0;1442781,0;1,0
Degree;15,0;8171,0;2283728,0;376,0;376,0
Degree and edge weight;15,0;10302,0;2422874,0;376,0;376,0
Degree normalized;5,0;12532,0;2772739,0;329896,0;1,2286528586112515
Degree normalized and edge weight;5,0;14838,0;3074304,0;329896,0;1,2286528586112515
PageRank;16,0;9847,0;2447993,0;539,0;4,9743310688062276E-6
PageRank and edge weight;5,0;15453,0;3513513,0;329896,0;0,008808182056384584
PageRank normalized;5,0;12104,0;2918692,0;329896,0;1,6028888864811695
PageRank normalized and edge weight;5,0;14399,0;3218906,0;329896,0;1,291549573140979
