sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;6,0;43064,0;1,0005471E7;2198252,0;1,0
Degree;26,0;36475,0;7280672,0;336380,0;336380,0
Degree and edge weight;23,0;42857,0;7616790,0;336380,0;336380,0
Degree normalized;6,0;48701,0;1,0208873E7;2198252,0;2,0
Degree normalized and edge weight;6,0;50044,0;1,0851301E7;2198252,0;2,0
PageRank;23,0;31485,0;7238373,0;336380,0;0,0019674053851050166
PageRank and edge weight;6,0;55365,0;1,1851714E7;2198252,0;0,058926938172623164
PageRank normalized;6,0;46186,0;9981669,0;2198252,0;2,0
PageRank normalized and edge weight;6,0;47731,0;1,0866201E7;2198252,0;2,0
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;1816,0;11194,0;9971,0;1,0
Degree;5,0;2372,0;18340,0;22,0;22,0
Degree and edge weight;5,0;2524,0;16634,0;22,0;22,0
Degree normalized;3,0;2924,0;9037,0;1442,0;1,0006559757480034
Degree normalized and edge weight;3,0;2347,0;6310,0;1442,0;1,0006559757480034
PageRank;5,0;2795,0;5710,0;32,0;2,9018527268372815E-8
PageRank and edge weight;3,0;3122,0;6268,0;1442,0;3,882562476595828E-6
PageRank normalized;3,0;2395,0;17027,0;1442,0;1,000065887734829
PageRank normalized and edge weight;3,0;2120,0;6268,0;1442,0;1,000065887734829
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,16;21747,93;3691560,51;1003610,58;1,0
Degree;12,76;14654,31;2287651,56;5317,5;5317,5
Degree and edge weight;12,34;16850,81;2415023,37;5318,46;5318,46
Degree normalized;4,16;25377,04;3057940,92;536986,18;1,244278717817612
Degree normalized and edge weight;4,2;25032,06;2975415,23;494037,83;1,2247412171125063
PageRank;13,6;17245,77;2545765,95;5371,77;5,5838156398745134E-5
PageRank and edge weight;4,21;27268,17;3106156,07;504925,63;0,0038248577538181937
PageRank normalized;4,16;24519,59;3052259,65;567686,58;1,067134251666306
PageRank normalized and edge weight;4,18;22652,4;3023397,53;542413,87;1,0656051388972394
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;14504,0;1212713,0;178480,0;1,0
Degree;10,0;8073,0;881326,0;49,0;49,0
Degree and edge weight;10,0;9974,0;967636,0;49,0;49,0
Degree normalized;3,0;17801,0;982528,0;46065,0;1,0209552862911078
Degree normalized and edge weight;4,0;16562,0;855375,0;123144,0;1,056019055140175
PageRank;11,0;11855,0;1202935,0;76,0;1,7887559571842572E-7
PageRank and edge weight;4,0;17085,0;754189,0;123144,0;9,582502434265737E-4
PageRank normalized;3,0;17038,0;1168878,0;106020,0;1,0074893172149988
PageRank normalized and edge weight;3,0;15275,0;854083,0;123144,0;1,016261666958148
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,0;20432,0;2610307,0;697101,0;1,0
Degree;12,0;13723,0;2006702,0;99,0;99,0
Degree and edge weight;12,0;14441,0;1946560,0;99,0;99,0
Degree normalized;4,0;23654,0;2220649,0;147629,0;1,0671574505561692
Degree normalized and edge weight;4,0;23022,0;2166012,0;178480,0;1,0811917832896318
PageRank;13,0;17419,0;2356054,0;135,0;6,570095944840934E-7
PageRank and edge weight;4,0;23278,0;2267396,0;178480,0;0,001977920565381057
PageRank normalized;4,0;22161,0;2355197,0;178480,0;1,0204070955180016
PageRank normalized and edge weight;4,0;20036,0;2217964,0;178480,0;1,0335656429252587
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;29619,0;6091900,0;1800008,0;1,0
Degree;15,0;20683,0;3291969,0;381,0;381,0
Degree and edge weight;14,0;24462,0;3611786,0;381,0;381,0
Degree normalized;5,0;33686,0;4523063,0;697101,0;1,3171160540283826
Degree normalized and edge weight;5,0;34366,0;4479041,0;697101,0;1,3171160540283826
PageRank;17,0;23078,0;3686214,0;536,0;2,747387867568509E-6
PageRank and edge weight;5,0;36095,0;4852573,0;697101,0;0,006505896259238772
PageRank normalized;5,0;34079,0;4547006,0;697101,0;1,1060002069188068
PageRank normalized and edge weight;5,0;32295,0;4915311,0;697101,0;1,1104061480367453
