sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;7,0;30120,0;5190565,0;1442781,0;1,0
Degree;27,0;10123,0;5259525,0;1442781,0;1442781,0
Degree and edge weight;25,0;15930,0;5428422,0;1442781,0;1442781,0
Degree normalized;7,0;17147,0;5221414,0;1442781,0;2,0
Degree normalized and edge weight;8,0;21680,0;6168117,0;1442781,0;2,0
PageRank;28,0;15005,0;5253734,0;1442781,0;0,01460995923775367
PageRank and edge weight;8,0;23100,0;6879811,0;1442781,0;0,01460995923775367
PageRank normalized;7,0;16000,0;5052807,0;1442781,0;2,0
PageRank normalized and edge weight;8,0;20031,0;6082492,0;1442781,0;2,0
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;1516,0;18368,0;6009,0;1,0
Degree;3,0;1050,0;95525,0;21,0;21,0
Degree and edge weight;3,0;1206,0;130442,0;21,0;21,0
Degree normalized;3,0;1273,0;23267,0;5066,0;1,0035112744068573
Degree normalized and edge weight;3,0;1802,0;35887,0;6009,0;1,0041648732551927
PageRank;3,0;1509,0;70629,0;35,0;1,462079865816485E-7
PageRank and edge weight;3,0;1512,0;50210,0;6009,0;7,112087519614167E-5
PageRank normalized;3,0;1453,0;29602,0;5066,0;1,0039686590379961
PageRank normalized and edge weight;3,0;1529,0;31563,0;6009,0;1,0048679721851899
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,8;9369,04;2644057,83;630177,37;1,0
Degree;12,82;5597,76;2379451,42;110415,74;110415,74
Degree and edge weight;12,54;8701,05;2488693,67;110415,85;110415,85
Degree normalized;4,8;11370,59;2629961,23;389397,22;1,2698935042809676
Degree normalized and edge weight;4,83;13479,34;2923067,41;372106,03;1,2579088787556798
PageRank;12,92;8669,04;2387543,34;110624,46;0,002671435703438357
PageRank and edge weight;4,88;13931,76;3046838,37;365748,05;0,007503629155138004
PageRank normalized;4,81;10755,93;2586037,98;390728,19;1,4341224984391006
PageRank normalized and edge weight;4,84;12500,28;2804458,07;362402,51;1,4378941177965177
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,0;7593,0;1389659,0;245220,0;1,0
Degree;9,0;3443,0;1103888,0;81,0;81,0
Degree and edge weight;9,0;5542,0;1175418,0;81,0;81,0
Degree normalized;4,0;8207,0;1141259,0;93561,0;1,0648476795854673
Degree normalized and edge weight;4,0;9865,0;1356390,0;141361,0;1,0979781408266396
PageRank;9,0;5182,0;1015114,0;114,0;1,3044334554164042E-6
PageRank and edge weight;4,0;10517,0;1555448,0;141361,0;0,0029959475911225833
PageRank normalized;4,0;7945,0;1173863,0;93561,0;1,1489398109023907
PageRank normalized and edge weight;4,0;9043,0;1237582,0;141361,0;1,1578991223035309
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;9941,0;2513427,0;472429,0;1,0
Degree;13,0;5649,0;2200139,0;1286,0;1286,0
Degree and edge weight;13,0;9192,0;2279247,0;1286,0;1286,0
Degree normalized;5,0;11945,0;2692415,0;329896,0;1,2286528586112515
Degree normalized and edge weight;5,0;13818,0;2762326,0;329896,0;1,2286528586112515
PageRank;13,0;8853,0;2192689,0;1286,0;2,020403363530331E-5
PageRank and edge weight;5,0;13527,0;2586483,0;329896,0;0,008808182056384584
PageRank normalized;5,0;11262,0;2601308,0;329896,0;1,3712786056365571
PageRank normalized and edge weight;5,0;12951,0;2840570,0;329896,0;1,291549573140979
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;11354,0;4047535,0;1442781,0;1,0
Degree;17,0;8089,0;3733256,0;30623,0;30623,0
Degree and edge weight;17,0;11729,0;3894196,0;30623,0;30623,0
Degree normalized;5,0;14941,0;3988021,0;472429,0;1,3274433195335953
Degree normalized and edge weight;5,0;18577,0;4845392,0;472429,0;1,3274433195335953
PageRank;16,0;12421,0;3752890,0;30623,0;0,001278424501404046
PageRank and edge weight;5,0;18466,0;4945710,0;472429,0;0,0113096820945429
PageRank normalized;5,0;13868,0;3951144,0;516014,0;1,7741077103978151
PageRank normalized and edge weight;5,0;16290,0;4404808,0;472429,0;1,7741077103978151
